Item,ItemDescription,MGBC,SSCC,LocalReferenceNumber,LocalPalletID,BBD,PalletizationDateAndTime,CoPackingConversionDateAndTime,Location,TransactionDateAndTime,TransactionType,TransactionQuantity,TransactionUOM,StockType,OnHandQuantitybyStockType,ShipTo,CNN,ParentSSCC,ConsumedQuantity,MachineLine
NR371,Bulk: MARS miniatures bulk 10 kg,,,59285,,,,,NL08,05/04/2019 07:07,Waste for Production order,-20.57,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,,,59285,,,,,NL08,05/04/2019 07:07,Waste for Production order,-8.7966,,Free,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,,,59285,,,,,NL08,05/04/2019 07:07,Waste for Production order,-39.5394,,Free,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179990,59289,LE00498648,2020-03-08,,,NL08,04/04/2019 20:56,Used for production,-40,,Used for production,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776510,59289,LE00498844,2020-02-23,,,NL08,04/04/2019 20:56,Used for production,-52,,Used for production,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527850852,59289,LE00498605,2020-02-23,,,NL08,04/04/2019 20:57,Used for production,-34,,Used for production,,,,,,2.01 TWRAP1
NR292,Bulk: MALTESERS Crunchy bulk 10kg,904A1VSN04,340111000024628879,59289,LE00497084,2020-01-19,,,NL08,04/04/2019 21:02,Used for production,-23,,Used for production,,,,,,2.01 TWRAP1
VK329,Bulk: Twix miniatures bulk 10 kg,911D1NLD07,387199001528172717,59289,LE00498140,2019-10-13,,,NL08,04/04/2019 21:07,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR816,Bulk: DOVE chunk bulk 10kg,903B1VSN04,340111000024607171,59289,LE00508832,2020-01-12,,,NL08,04/04/2019 21:07,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR811,Bulk: DOVE caramel bulk 10 kg,902G3VSN04,340111000024604286,59289,LE00508921,2020-01-05,,,NL08,04/04/2019 21:08,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
